Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
870776450,-0.054726,-0.033906,-0.049170,-0.253294,0.043872,0.967241
870778955,-0.115636,-0.034043,-0.048945,-0.256892,0.043146,0.964996
870781460,-0.237519,0.026502,-0.048069,-0.257617,0.041684,0.964271
870783966,-0.298492,0.087183,-0.047419,-0.255496,0.042439,0.967944
870786471,-0.298492,0.087183,-0.047419,-0.254021,0.045345,0.967937
870788977,-0.237731,0.087066,0.012971,-0.253246,0.046772,0.965749
870791481,-0.116060,0.087085,0.073135,-0.254045,0.043895,0.968683
870793987,-0.055150,0.087222,0.072910,-0.257719,0.043220,0.970805
870796492,0.066882,0.026932,0.011419,-0.257600,0.043873,0.964245
870798997,0.127941,0.027324,-0.049421,-0.253987,0.041655,0.964342
870801511,0.128004,-0.033495,-0.049846,-0.251109,0.043116,0.966564
870804008,0.067157,-0.094450,-0.050046,-0.252575,0.044604,0.967974
870806513,0.006311,-0.155405,-0.050246,-0.255482,0.040963,0.966506
870809018,-0.054387,-0.216106,-0.111061,-0.256922,0.040966,0.965750
870811524,-0.115446,-0.216498,-0.050220,-0.256159,0.042402,0.964291
870814029,-0.115658,-0.155934,0.010820,-0.255439,0.041667,0.964314
870816534,-0.115934,-0.034552,0.072285,-0.256222,0.042445,0.967930
870819039,-0.055001,0.087477,0.012295,-0.256203,0.041698,0.966483
870821544,0.005995,0.148687,-0.048120,-0.255469,0.039487,0.965068
870824050,0.005845,0.148432,0.012495,-0.251119,0.040190,0.965871
870826555,0.006121,0.027050,-0.048970,-0.250315,0.045264,0.963639
870829061,-0.054789,0.026913,-0.048745,-0.252481,0.045273,0.962869
870831566,0.006035,-0.034023,0.011220,-0.256924,0.043901,0.967171
870834071,0.066796,-0.034141,0.071609,-0.259872,0.043221,0.969307
870836576,0.005737,-0.034533,0.132450,-0.258345,0.044625,0.965678
870839081,-0.055024,-0.034415,0.072060,-0.253250,0.044575,0.965048
870841603,-0.054875,-0.034160,0.011445,-0.251811,0.044572,0.965804
870844103,0.006035,-0.034023,0.011220,-0.253957,0.043835,0.963587
870846598,0.067031,0.027187,-0.049196,-0.253267,0.042387,0.965075
870849103,0.006058,0.087868,-0.048545,-0.256203,0.041698,0.966483
870851608,0.006121,0.027050,-0.048970,-0.258373,0.039511,0.965012
870854113,0.005972,0.026795,0.011645,-0.255464,0.041684,0.965769
870856618,0.066859,-0.094960,0.071184,-0.252544,0.045316,0.966509
870859124,0.006162,-0.155660,0.010369,-0.254007,0.043869,0.966499
870861629,0.006460,-0.155151,-0.110861,-0.253323,0.041692,0.967995
870864134,0.006546,-0.094077,-0.171051,-0.254744,0.040949,0.965792
870866639,0.067180,0.027442,-0.109811,-0.255451,0.041675,0.965041
870869145,0.127941,0.027324,-0.049421,-0.255479,0.044627,0.967918
870871650,0.188616,-0.033867,0.071159,-0.254767,0.046097,0.969370
870874155,0.188616,-0.033867,0.071159,-0.253989,0.044590,0.965762
870876661,0.066796,-0.034141,0.071609,-0.256121,0.042377,0.962107
870879166,0.066796,-0.034141,0.071609,-0.256215,0.041707,0.967211
870881671,0.005737,-0.034533,0.132450,-0.253336,0.041701,0.968723
870884177,-0.055173,-0.034670,0.132675,-0.256183,0.040952,0.965036
870886681,-0.115785,-0.034297,0.011670,-0.259777,0.042423,0.963492
870889187,-0.176396,-0.033925,-0.109335,-0.255427,0.043126,0.964296
870891692,-0.176333,-0.094743,-0.109760,-0.251842,0.043860,0.967269
870894198,0.006333,-0.033514,-0.110010,-0.252592,0.042416,0.968001
870896703,0.066945,-0.033886,0.010994,-0.252573,0.043136,0.967264
870899208,0.127706,-0.034004,0.071384,-0.255472,0.043889,0.967199
870901713,0.188404,0.026696,0.132199,-0.256892,0.043146,0.964996
870904219,0.188702,0.027206,0.010969,-0.253237,0.043100,0.963610
870906724,0.127878,0.088142,-0.048996,-0.251789,0.040891,0.962937
870909229,0.067180,0.027442,-0.109811,-0.254724,0.040202,0.964345
870911734,0.067031,0.027187,-0.049196,-0.256220,0.039510,0.966510
870914240,0.127643,0.026814,0.071809,-0.255475,0.040225,0.965787
870916745,0.005674,0.026285,0.132875,-0.254718,0.040932,0.964336
870919250,-0.055214,0.148040,0.073335,-0.255464,0.041684,0.965769
870921755,-0.115889,0.209231,-0.047244,-0.257625,0.043890,0.965701
870924261,-0.115889,0.209231,-0.047244,-0.257595,0.046069,0.964946
870926766,-0.115974,0.148158,0.012946,-0.256836,0.043841,0.962075
870929271,0.005611,0.087104,0.133300,-0.254664,0.043094,0.962126
870931776,0.066584,0.026422,0.132649,-0.254006,0.042402,0.965789
870934282,0.066796,-0.034141,0.071609,-0.256215,0.041707,0.967211
870936787,0.006035,-0.034023,0.011220,-0.256191,0.043157,0.966466
870939293,0.067031,0.027187,-0.049196,-0.254739,0.043145,0.966494
870941798,0.128090,0.027579,-0.110036,-0.254774,0.040237,0.967257
870944303,0.189000,0.027716,-0.110261,-0.252603,0.040957,0.968018
870946808,0.188914,-0.033358,-0.050071,-0.254720,0.042399,0.965047
870949314,0.188530,-0.094941,0.131349,-0.257648,0.040972,0.965736
870951819,0.066710,-0.095215,0.131799,-0.253293,0.042404,0.966531
870954324,0.006162,-0.155660,0.010369,-0.251064,0.042353,0.963661
870956830,0.006311,-0.155405,-0.050246,-0.252596,0.040219,0.967299
870959335,0.067307,-0.094195,-0.110661,-0.254080,0.040986,0.969446
870961840,0.067031,0.027187,-0.049196,-0.253280,0.042396,0.965803
870964345,-0.055001,0.087477,0.012295,-0.254031,0.042419,0.967245
870966850,-0.054789,0.026913,-0.048745,-0.255466,0.044619,0.967190
870969356,-0.054726,-0.033906,-0.049170,-0.254733,0.043875,0.966485
870971861,0.006162,-0.155660,0.010369,-0.253974,0.041647,0.963614
870974366,0.127769,-0.094823,0.070959,-0.252522,0.041635,0.963642
870976871,0.188765,-0.033612,0.010544,-0.253367,0.040988,0.970188
870979377,0.188914,-0.033358,-0.050071,-0.256235,0.042453,0.968658
870981882,0.067243,-0.033377,-0.110236,-0.256885,0.042408,0.964277
870984387,0.006333,-0.033514,-0.110010,-0.253318,0.042421,0.967987
870986893,-0.054726,-0.033906,-0.049170,-0.254825,0.040271,0.970169
870989398,0.005909,0.087613,0.012070,-0.256940,0.040246,0.966487
870991903,-0.055065,0.148295,0.012720,-0.255433,0.042396,0.964305
870994408,0.005845,0.148432,0.012495,-0.256198,0.043895,0.967185
870996914,0.005782,0.209250,0.012920,-0.254020,0.043877,0.967227
870999419,0.005845,0.148432,0.012495,-0.253270,0.045322,0.966495
871001925,0.066755,0.148569,0.012270,-0.256920,0.046098,0.967872
871004430,0.127792,0.027069,0.011194,-0.260485,0.043150,0.962741
871006935,0.188702,0.027206,0.010969,-0.259094,0.041713,0.965699
871009440,0.249612,0.027343,0.010744,-0.255453,0.043143,0.965752
871011946,0.249548,0.088161,0.011169,-0.251786,0.044555,0.964348
871014451,0.188788,0.088279,-0.049221,-0.254691,0.046046,0.965002
871016956,0.127941,0.027324,-0.049421,-0.256851,0.046784,0.964223
871019461,0.128004,-0.033495,-0.049846,-0.252517,0.043832,0.964343
871021967,0.128004,-0.033495,-0.049846,-0.253259,0.040182,0.963645
871024472,0.127855,-0.033749,0.010769,-0.256910,0.042425,0.965732
871026977,0.188553,0.026951,0.071584,-0.253958,0.045302,0.964297
871029482,0.188765,-0.033612,0.010544,-0.253954,0.039433,0.961456
871031988,0.188977,-0.094176,-0.050496,-0.257659,0.039514,0.965754
871034493,0.128216,-0.094058,-0.110886,-0.258334,0.046084,0.965660
871036998,0.006184,-0.033769,-0.049395,-0.256819,0.046029,0.962048
871039503,-0.115848,0.026521,0.012095,-0.255416,0.044584,0.964278
871042009,-0.115911,0.087340,0.012520,-0.254718,0.040932,0.964336
871044514,-0.054789,0.026913,-0.048745,-0.257592,0.041667,0.962815
871047019,0.067180,0.027442,-0.109811,-0.256848,0.042382,0.962093
871049524,0.128302,-0.032985,-0.171076,-0.257556,0.044576,0.962052
871052030,0.128302,-0.032985,-0.171076,-0.256155,0.044599,0.964992
871054535,0.128153,-0.033240,-0.110461,-0.253989,0.044590,0.965762
